tag,company,last_update,last_values
ADV,Advantage Solutions Inc. Class A Common Stock,2000-01-01,0
ADVM,Adverum Biotechnologies Inc. Common Stock,2000-01-01,0
ADVWW,Advantage Solutions Inc. Warrant,2000-01-01,0
ADXN,Addex Therapeutics Ltd American Depositary Shares,2000-01-01,0
ADXS,Advaxis Inc. Common Stock,2000-01-01,0
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,2000-01-01,0
AEACU,Authentic Equity Acquisition Corp. Unit,2000-01-01,0
AEACW,Authentic Equity Acquisition Corp. Warrant,2000-01-01,0
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),2000-01-01,0
AEHR,Aehr Test Systems Common Stock,2000-01-01,0
AEI,Alset EHome International Inc. Common Stock,2000-01-01,0
AEIS,Advanced Energy Industries Inc. Common Stock,2000-01-01,0
AEMD,Aethlon Medical Inc. Common Stock,2000-01-01,0
AEP,American Electric Power Company Inc. Common Stock,2000-01-01,0
AEPPL,American Electric Power Company Inc. Corporate Unit,2000-01-01,0
AEPPZ,American Electric Power Company Inc. Corporate Units,2000-01-01,0
AERI,Aerie Pharmaceuticals Inc. Common Stock,2000-01-01,0
AESE,Allied Esports Entertainment Inc. Common Stock,2000-01-01,0
AEY,ADDvantage Technologies Group Inc. Common Stock,2000-01-01,0
AEYE,AudioEye Inc. Common Stock,2000-01-01,0
AEZS,Aeterna Zentaris Inc. Common Stock,2000-01-01,0
AFAQ,AF Acquisition Corp. Class A Common Stock,2000-01-01,0
AFAQU,AF Acquisition Corp. Units,2000-01-01,0
AFAQW,AF Acquisition Corp. Warrants,2000-01-01,0
AFBI,Affinity Bancshares Inc. Common Stock (MD),2000-01-01,0
AFCG,AFC Gamma Inc. Common Stock,2000-01-01,0
AFIB,Acutus Medical Inc. Common Stock,2000-01-01,0
AFIN,American Finance Trust Inc. Class A Common Stock,2000-01-01,0
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,2000-01-01,0
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,2000-01-01,0
AFMD,Affimed N.V.,2000-01-01,0
AFRM,Affirm Holdings Inc. Class A Common Stock,2000-01-01,0
AFYA,Afya Limited Class A Common Shares,2000-01-01,0
AGBA,AGBA Acquisition Limited Ordinary Share,2000-01-01,0
AGBAR,AGBA Acquisition Limited Right,2000-01-01,0
AGBAW,AGBA Acquisition Limited Warrant,2000-01-01,0
AGC,Altimeter Growth Corp. Class A Ordinary Shares,2000-01-01,0
AGCUU,Altimeter Growth Corp. Unit,2000-01-01,0
AGCWW,Altimeter Growth Corp. Warrant,2000-01-01,0
AGEN,Agenus Inc. Common Stock,2000-01-01,0
AGFS,AgroFresh Solutions Inc. Common Stock,2000-01-01,0
AGFY,Agrify Corporation Common Stock,2000-01-01,0
AGGR,Agile Growth Corp. Class A Ordinary Share,2000-01-01,0
AGGRU,Agile Growth Corp. Units,2000-01-01,0
AGGRW,Agile Growth Corp. Warrant.,2000-01-01,0
AGIO,Agios Pharmaceuticals Inc. Common Stock,2000-01-01,0
AGLE,Aeglea BioTherapeutics Inc. Common Stock,2000-01-01,0
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,2000-01-01,0
AGNC,AGNC Investment Corp. Common Stock,2000-01-01,0
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,2000-01-01,0
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,2000-01-01,0
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,2000-01-01,0
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,2000-01-01,0
AGRX,Agile Therapeutics Inc. Common Stock,2000-01-01,0
AGTC,Applied Genetic Technologies Corporation Common Stock,2000-01-01,0
AGYS,Agilysys Inc. Common Stock,2000-01-01,0
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,2000-01-01,0
AHACW,Alpha Healthcare Acquisition Corp. Warrant,2000-01-01,0
AHCO,AdaptHealth Corp. Class A Common Stock,2000-01-01,0
AHPI,Allied Healthcare Products Inc. Common Stock,2000-01-01,0
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,2000-01-01,0
AIHS,Senmiao Technology Limited Common Stock,2000-01-01,0
AIKI,AIkido Pharma Inc. Common Stock,2000-01-01,0
AIMC,Altra Industrial Motion Corp. Common Stock,2000-01-01,0
AINV,Apollo Investment Corporation Common Stock,2000-01-01,0
AIRG,Airgain Inc. Common Stock,2000-01-01,0
AIRT,Air T Inc. Common Stock,2000-01-01,0
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,2000-01-01,0
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,2000-01-01,0
AKAM,Akamai Technologies Inc. Common Stock,2000-01-01,0
AKBA,Akebia Therapeutics Inc. Common Stock,2000-01-01,0
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,2000-01-01,0
AKICU,Sports Ventures Acquisition Corp. Unit,2000-01-01,0
AKICW,Sports Ventures Acquisition Corp. Warrant,2000-01-01,0
AKRO,Akero Therapeutics Inc. Common Stock,2000-01-01,0
AKTS,Akoustis Technologies Inc. Common Stock,2000-01-01,0
AKTX,Akari Therapeutics plc ADR (0.01 USD),2000-01-01,0
AKU,Akumin Inc. Common Shares,2000-01-01,0
AKUS,Akouos Inc. Common Stock,2000-01-01,0
AKYA,Akoya BioSciences Inc. Common Stock,2000-01-01,0
ALAC,Alberton Acquisition Corporation Ordinary Shares,2000-01-01,0
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,2000-01-01,0
ALACW,Alberton Acquisition Corporation Warrant,2000-01-01,0
ALBO,Albireo Pharma Inc. Common Stock,2000-01-01,0
ALCO,Alico Inc. Common Stock,2000-01-01,0
ALDX,Aldeyra Therapeutics Inc. Common Stock,2000-01-01,0
ALEC,Alector Inc. Common Stock,2000-01-01,0
ALF,ALFI Inc. Common Stock,2000-01-01,0
ALFIW,ALFI Inc. Warrant,2000-01-01,0
ALGM,Allegro MicroSystems Inc. Common Stock,2000-01-01,0
ALGN,Align Technology Inc. Common Stock,2000-01-01,0
ALGS,Aligos Therapeutics Inc. Common Stock,2000-01-01,0
ALGT,Allegiant Travel Company Common Stock,2000-01-01,0
ALHC,Alignment Healthcare Inc. Common Stock,2000-01-01,0
ALIM,Alimera Sciences Inc. Common Stock,2000-01-01,0
ALJJ,ALJ Regional Holdings Inc. Common Stock,2000-01-01,0
ALKS,Alkermes plc Ordinary Shares,2000-01-01,0
ALKT,Alkami Technology Inc. Common Stock,2000-01-01,0
ALLK,Allakos Inc. Common Stock,2000-01-01,0
ALLO,Allogene Therapeutics Inc. Common Stock,2000-01-01,0
ALLT,Allot Ltd. Ordinary Shares,2000-01-01,0
ALNA,Allena Pharmaceuticals Inc. Common Stock,2000-01-01,0
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,2000-01-01,0
ALOT,AstroNova Inc. Common Stock,2000-01-01,0
ALPN,Alpine Immune Sciences Inc. Common Stock,2000-01-01,0
ALRM,Alarm.com Holdings Inc. Common Stock,2000-01-01,0
ALRN,Aileron Therapeutics Inc. Common Stock,2000-01-01,0
ALRS,Alerus Financial Corporation Common Stock,2000-01-01,0
ALSK,Alaska Communications Systems Group Inc. Common Stock,2000-01-01,0
ALT,Altimmune Inc. Common Stock,2000-01-01,0
ALTA,Altabancorp Common Stock,2000-01-01,0
ALTM,Altus Midstream Company Class A Common Stock,2000-01-01,0
ALTO,Alto Ingredients Inc. Common Stock,2000-01-01,0
ALTR,Altair Engineering Inc. Class A Common Stock,2000-01-01,0
ALTU,Altitude Acquisition Corp. Class A Common Stock,2000-01-01,0
ALTUU,Altitude Acquisition Corp. Unit,2000-01-01,0
ALTUW,Altitude Acquisition Corp. Warrant,2000-01-01,0
ALVR,AlloVir Inc. Common Stock,2000-01-01,0
ALXN,Alexion Pharmaceuticals Inc. Common Stock,2000-01-01,0
ALXO,ALX Oncology Holdings Inc. Common Stock,2000-01-01,0
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,2000-01-01,0
AMAL,Amalgamated Financial Corp. Common Stock (DE),2000-01-01,0
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,2000-01-01,0
AMAOU,American Acquisition Opportunity Inc. Units,2000-01-01,0
AMAOW,American Acquisition Opportunity Inc. Warrant,2000-01-01,0
AMAT,Applied Materials Inc. Common Stock,2000-01-01,0
AMBA,Ambarella Inc. Ordinary Shares,2000-01-01,0
AMCX,AMC Networks Inc. Class A Common Stock,2000-01-01,0
AMD,Advanced Micro Devices Inc. Common Stock,2000-01-01,0
AMED,Amedisys Inc Common Stock,2000-01-01,0
AMEH,Apollo Medical Holdings Inc. Common Stock,2000-01-01,0
AMGN,Amgen Inc. Common Stock,2000-01-01,0
AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,2000-01-01,0
AMHCU,Amplitude Healthcare Acquisition Corporation Unit,2000-01-01,0
AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,2000-01-01,0
AMKR,Amkor Technology Inc. Common Stock,2000-01-01,0
AMNB,American National Bankshares Inc. Common Stock,2000-01-01,0
AMOT,Allied Motion Technologies Inc.,2000-01-01,0
AMPG,Amplitech Group Inc. Common Stock,2000-01-01,0
AMPGW,Amplitech Group Inc. Warrants,2000-01-01,0
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,2000-01-01,0
AMRB,American River Bankshares Common Stock,2000-01-01,0
AMRK,A-Mark Precious Metals Inc. Common Stock,2000-01-01,0
AMRN,Amarin Corporation plc,2000-01-01,0
AMRS,Amyris Inc. Common Stock,2000-01-01,0
AMSC,American Superconductor Corporation Common Stock,2000-01-01,0
AMSF,AMERISAFE Inc. Common Stock,2000-01-01,0
AMST,Amesite Inc. Common Stock,2000-01-01,0
AMSWA,American Software Inc. Class A Common Stock,2000-01-01,0
AMTB,Amerant Bancorp Inc. Class A Common Stock,2000-01-01,0
AMTBB,Amerant Bancorp Inc. Class B Common Stock,2000-01-01,0
AMTI,Applied Molecular Transport Inc. Common Stock,2000-01-01,0
AMTX,Aemetis Inc. Common Stock,2000-01-01,0
AMWD,American Woodmark Corporation Common Stock,2000-01-01,0
AMYT,Amryt Pharma plc American Depositary Shares,2000-01-01,0
AMZN,Amazon.com Inc. Common Stock,2000-01-01,0
ANAB,AnaptysBio Inc. Common Stock,2000-01-01,0
ANAT,American National Group Inc. Common Stock,2000-01-01,0
ANDA,Andina Acquisition Corp. III Ordinary Shares,2000-01-01,0
ANDAR,Andina Acquisition Corp. III Right,2000-01-01,0
ANDAW,Andina Acquisition Corp. III Warrant,2000-01-01,0
ANDE,Andersons Inc. (The) Common Stock,2000-01-01,0
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,2000-01-01,0
ANGI,Angi Inc. Class A Common Stock,2000-01-01,0
ANGN,Angion Biomedica Corp. Common Stock,2000-01-01,0
ANGO,AngioDynamics Inc. Common Stock,2000-01-01,0
ANIK,Anika Therapeutics Inc. Common Stock,2000-01-01,0
ANIP,ANI Pharmaceuticals Inc.,2000-01-01,0
ANIX,Anixa Biosciences Inc. Common Stock,2000-01-01,0
ANNX,Annexon Inc. Common Stock,2000-01-01,0
ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,2000-01-01,0
ANSS,ANSYS Inc. Common Stock,2000-01-01,0
ANTE,AirNet Technology Inc. American Depositary Shares,2000-01-01,0
ANY,Sphere 3D Corp. Common Shares,2000-01-01,0
ANZU,Anzu Special Acquisition Corp I Class A Common Stock,2000-01-01,0
ANZUU,Anzu Special Acquisition Corp I Units,2000-01-01,0
ANZUW,Anzu Special Acquisition Corp I Warrant,2000-01-01,0
AOSL,Alpha and Omega Semiconductor Limited Common Shares,2000-01-01,0
AOUT,American Outdoor Brands Inc. Common Stock ,2000-01-01,0
APA,APA Corporation Common Stock,2000-01-01,0
APDN,Applied DNA Sciences Inc. Common Stock,2000-01-01,0
APEI,American Public Education Inc. Common Stock,2000-01-01,0
APEN,Apollo Endosurgery Inc. Common Stock,2000-01-01,0
API,Agora Inc. American Depositary Shares,2000-01-01,0
APLS,Apellis Pharmaceuticals Inc. Common Stock,2000-01-01,0
APLT,Applied Therapeutics Inc. Common Stock,2000-01-01,0
APM,Aptorum Group Limited Class A Ordinary Shares,2000-01-01,0
APOG,Apogee Enterprises Inc. Common Stock,2000-01-01,0
APOP,Cellect Biotechnology Ltd. American Depositary Shares,2000-01-01,0
APOPW,Cellect Biotechnology Ltd. Warrants to Purchase ADRs,2000-01-01,0
APP,Applovin Corporation Class A Common Stock,2000-01-01,0
APPF,AppFolio Inc. Class A Common Stock,2000-01-01,0
APPH,AppHarvest Inc. Common Stock,2000-01-01,0
APPHW,AppHarvest Inc. Warrants,2000-01-01,0
